0;1;2;3;4;5;Code ES
1;0;0;0;0;0;005659
1;0;0;0;0;0;006002
0;0;1;0;0;0;006167
1;0;0;0;0;0;006171
0;0;0;0;1;0;006376
0;0;0;1;0;0;006532
1;0;0;0;0;0;006778
1;0;0;0;0;0;006835
1;0;0;1;0;0;008021
1;0;0;0;0;0;008093
0;0;1;0;0;0;009029
1;0;0;0;0;0;009077
0;0;1;0;0;0;009083
0;0;1;0;0;0;009089
0;0;1;0;0;0;009094
0;0;1;0;0;0;009102
0;0;0;1;0;0;009129
0;0;0;1;0;0;009144
0;0;0;1;0;0;009232
0;0;0;1;0;0;009448
1;0;0;0;0;0;009503
0;0;0;1;0;0;009505
0;0;0;1;0;0;009508
1;0;0;0;0;0;009512
1;0;0;0;0;0;009532
1;0;0;0;0;0;010057
0;0;1;0;0;0;010086
0;0;0;0;1;0;010111
0;1;0;0;0;0;010258
0;0;0;1;0;0;010261
0;0;0;0;1;0;010264
1;0;0;0;0;0;010265
0;0;1;0;0;0;010269
0;0;0;1;0;0;010271
0;0;0;0;1;0;010297
0;0;1;0;0;0;010317
0;0;1;0;0;0;010318
0;0;0;0;1;0;010333
0;0;0;0;1;0;010370
1;0;0;0;0;0;010373
0;0;0;0;1;0;010396
0;1;0;0;0;0;010416
0;1;0;0;0;0;010429
0;0;0;1;0;0;010441
0;0;1;0;0;0;010447
0;0;0;1;0;0;010470
0;0;0;1;0;0;010510
0;1;0;0;0;0;010520
0;0;0;0;1;0;010524
0;0;0;0;0;1;010545
0;0;0;0;1;0;010546
1;0;0;0;0;0;010549
1;0;0;0;0;0;010562
1;0;0;0;0;0;010567
0;0;0;0;1;0;010636
0;0;0;1;0;0;010692
0;0;1;0;0;0;024015
1;0;0;0;0;0;024016
1;0;0;0;0;0;024019
0;0;0;1;0;0;024023
1;0;0;1;0;0;024024
0;0;0;1;0;0;024025
0;0;0;1;0;0;024032
0;0;0;1;0;0;024033
1;0;0;0;0;0;024034
0;0;0;1;0;0;024035
1;0;0;0;0;0;024036
0;0;0;0;1;0;024037
0;0;1;0;0;0;024038
0;1;0;0;0;0;700002
0;1;0;0;0;0;700003
0;0;0;1;0;0;700940
0;0;0;1;0;0;700658
0;0;0;1;0;0;700005
1;0;0;0;0;0;700714
1;0;0;0;0;0;700010
1;0;0;0;0;0;700325
1;0;0;0;0;0;700467
0;1;0;0;0;0;701230
0;0;0;0;1;0;700019
1;0;0;0;0;0;702021
0;0;0;1;0;0;700469
1;0;0;0;0;0;700157
0;0;0;1;0;0;700461
1;0;0;0;0;0;701369
1;0;0;0;0;0;700161
0;0;0;1;0;0;700364
0;1;0;0;0;0;700023
0;0;0;1;0;0;700024
1;0;0;0;0;0;701913
0;0;0;1;0;0;700733
0;1;0;0;0;0;700353
0;0;1;0;0;0;700627
1;0;0;0;0;0;700093
1;0;0;0;0;0;700027
0;1;0;0;0;0;701142
1;0;0;0;0;0;700028
0;0;1;0;0;0;700122
0;1;0;0;0;0;700258
0;0;0;1;0;0;701339
0;0;0;1;0;0;700343
1;0;0;0;0;0;701474
0;0;0;1;0;0;700149
0;1;0;0;0;0;701407
0;0;0;0;0;1;700034
1;0;0;0;0;0;700344
1;0;0;0;0;0;700035
0;1;0;0;0;0;701312
0;0;1;0;0;0;700939
0;0;0;0;1;0;701264
1;0;0;0;0;0;700252
1;0;0;0;0;0;701366
0;0;0;0;1;0;700038
1;0;0;0;0;0;701192
0;1;0;0;0;0;700289
0;1;0;0;0;0;700460
0;0;0;0;0;1;700039
0;0;1;0;0;0;701181
