LOCALITE;AGENCE;0;1;2;3;4;5;J1;J2;J3
Ait majden;Agence marrakech;0;0;1;0;0;0;0;0;0
Mzem sendhaja;Agence marrakech;1;0;0;1;0;0;0;0;0
Oulad dlim;Agence marrakech;0;0;0;0;0;1;0;0;0
Tassoultante;Agence marrakech;0;0;0;0;1;0;0;0;0
Agafay;Agence marrakech;0;1;0;0;0;0;0;0;0
Ait imour;Agence marrakech;0;1;0;0;0;0;0;0;0
Al ouidane;Agence marrakech;1;0;0;1;0;0;0;0;0
Douirane;Agence marrakech;0;1;0;0;0;0;0;0;0
Jaidate;Agence marrakech;1;0;0;1;0;0;0;0;0
Ait faska;Agence marrakech;0;0;1;0;0;0;0;0;0
Tassaout;Agence marrakech;1;0;0;1;0;0;0;0;0
Ait tamlil;Agence marrakech;0;0;1;0;0;0;0;0;0
Wld bani;Agence marrakech;0;1;0;0;0;0;0;0;0
Frouga;Agence marrakech;0;1;0;0;0;0;0;0;0
Sidi rahhal sud;Agence marrakech;0;0;1;0;0;0;0;0;0
Tidili;Agence marrakech;0;0;1;0;0;0;0;0;0
Ararcha;Agence marrakech;1;0;0;1;0;0;0;0;0
Ouled zerrad;Agence marrakech;1;0;0;1;0;0;0;0;0
Tafroukhte;Agence marrakech;0;1;0;0;0;0;0;0;0
Ouled hassoune;Agence marrakech;0;0;1;0;0;0;0;0;0
Jdoura;Agence marrakech;0;0;0;0;0;1;0;0;0
Tighdouine;Agence marrakech;0;0;1;0;0;0;0;0;0
Ait blal;Agence marrakech;0;0;1;0;0;0;0;0;0
Agence khémisset;Agence khémisset;0;0;0;0;0;0;1;0;0
Meknès;Agence meknès;0;0;0;0;0;0;1;0;0
Errachidia;Agence Errachidia;0;0;0;0;0;0;0;1;0
El Jorf;Agence Errachidia;0;0;0;0;1;0;0;0;0
Amanikidar;Agence  Errachidia;1;0;0;0;0;0;0;0;0
M'ssici;Agence  Errachidia;0;0;0;0;1;0;0;0;0
Tinghir;Agence Errachidia;1;0;0;0;0;0;0;0;0
Moulay driss zerhoun;Agence meknès;0;1;0;0;0;0;0;0;0
Tinejdad;Agence Errachidia;1;0;0;0;1;0;0;0;0
Imilchil;Agence beni mellal;0;0;1;0;0;0;0;0;0
El hajeb;Agence meknès;1;0;0;0;1;0;0;0;0
Erfoud;Agence Errachidia;0;0;0;0;1;0;0;0;0
Moulay ali chérif rissani;Agence Errachidia;0;0;0;0;1;0;0;0;0
Alnif;Agence Errachidia;0;0;0;0;1;0;0;0;0
Midelt;Agence Errachidia;0;1;0;1;0;0;0;0;0
Ain taoujdate;Agence meknès;0;0;0;0;1;0;0;0;0
Aghbalou;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Agourai;Agence meknès;0;0;0;0;0;1;0;0;0
Aguelmous;Agence meknès;0;0;1;0;0;0;0;0;0
Ain jemaa;Agence meknès;0;1;0;0;0;0;0;0;0
Ain karma;Agence meknès;0;1;0;0;0;0;0;0;0
Ain leuh;Agence meknès;1;0;0;0;0;0;0;0;0
Ait boubidmane;Agence meknès;0;0;0;0;1;0;0;0;0
Amalou ighriben;Agence meknès;0;0;1;0;0;0;0;0;0
Azrou;Agence meknès;1;0;0;0;0;0;0;0;0
