Beni yazgha;0;0;0;0;0;1
Ouannana;1;0;0;0;0;0
Douar ramla;0;0;1;0;0;0
Ouled jerrar;1;0;0;0;0;0
Hamria;0;0;1;0;0;0
Bouhouda;0;0;1;0;0;0
El bibane;0;0;1;0;0;0
Ouled ali youssef;0;0;0;1;0;0
Oulad ayad lahyayna;0;0;0;0;0;1
Pôle urbain ras el-ma;0;0;0;0;1;0
Fennassa bab el hit;0;0;1;0;0;0
Bouadel;0;0;1;0;0;0
Sidi redouane;1;0;0;0;0;0
Timoulay;1;0;0;0;0;0
Guelmim;1;1;1;1;1;1
Tan tan;0;0;1;0;0;0
Assa;0;0;0;1;0;0
Bouizakarne;1;0;0;0;0;0
El ouatia;0;0;1;0;0;0
Fam el hisn;1;0;0;0;0;0
Ifrane atlas saghir;1;0;0;0;0;0
Taghjijt;1;0;0;0;0;0
Zag;0;0;0;1;0;0
Abaynou;1;1;1;1;1;1
Tagante;1;0;0;0;0;0
kénitra;1;1;1;1;1;1
Sidi kacem;1;0;1;0;0;0
Sidi allal tazi;0;1;0;1;0;0
Moulay bousselham;0;0;0;1;0;0
Dar gueddari;0;0;0;0;1;0
Had kourt;0;1;0;0;0;0
Jorf el melha;0;0;0;0;1;0
Khénichet;0;0;0;0;1;0
Lalla mimouna;0;0;0;1;0;0
Mechra bel ksiri;0;1;0;0;0;0
Mehdya;1;1;1;1;1;1
Sidi slimane;1;0;1;0;0;0
Sidi taibi;1;0;0;0;0;0
Sidi yahya el gharb;1;0;1;0;0;0
Souk el arbaâ;0;0;0;1;0;0
Zirara;1;0;1;0;0;0
Sidi mohamed lahmer;0;0;0;1;0;0
Ben mansour;0;0;0;1;0;0
Guelalfa msaada;0;0;1;0;0;0
Zaitrat;1;0;0;0;0;0
Dar bel amri;0;0;1;0;0;0
Mograne;0;0;0;1;0;0
Sidi el kamel;0;1;0;0;0;0
Nouirate;0;1;0;0;0;0
Souk tlet du gharb;0;1;0;1;0;0
Sidi ayache;0;1;0;1;0;0
Ain defali;0;0;0;0;1;0
Bir rami;1;1;1;1;1;1
El mrabih;0;1;0;0;0;0
Boumaiz;0;0;0;0;1;0
El houafate;0;1;0;0;0;0
Zegota;1;0;0;0;0;0
Ouled mesbah;0;0;0;1;0;0
Ouled oujih;1;1;1;1;1;1
Safsaf;0;1;0;0;0;0
Nkhakhssa;0;0;0;0;1;0
Ouled bourahema;0;0;0;0;1;0
Dar laaslouji;0;1;0;0;0;0
Had ouled jelloul;0;1;0;1;0;0
Khémisset;1;1;1;1;1;1
Tiflet;0;1;0;0;0;0
Maaziz;0;0;1;0;0;0
Oulmès;0;0;1;0;0;0
Rommani;0;0;0;1;0;0
Sidi allal el bahraoui;0;1;0;0;0;0
Tidass;0;0;1;0;0;0
Ait yadin;0;0;0;0;1;0
Ain sbit;0;0;1;0;0;0
Ezzhiliga;0;0;0;1;0;0
El brachoua;0;0;0;1;0;0
El kansera;0;0;0;0;1;0
Sidi abderrazzak;0;1;0;0;0;0
Merchouch;0;0;0;1;0;0
Laghoualem;0;0;0;1;0;0
Sfassif;1;0;0;0;0;0
Khouribga;1;1;1;1;1;1
Boujniba;1;0;0;1;0;0
Bejaad;1;0;0;1;0;0
Oued zem;1;0;0;1;0;0
Ben ahmed;0;1;0;0;0;0
Boulanouare;0;0;0;0;1;0
Hattane;0;0;0;0;1;0
Loulad;0;1;0;0;0;0
Moulay bouazza;0;0;1;0;0;0
Ait ammar;1;0;0;0;0;0
Ouled boughadi;1;0;0;0;0;0
Lagfaf;1;0;0;0;0;0
Bir mezou;1;0;0;1;0;0
Ben khiran;1;0;0;0;0;0
Bir mezoui;1;0;0;1;0;0
Braksa;1;0;0;1;0;0
Tlete aoulad azouz;0;0;0;0;1;0
Sebt ait rahou;0;0;1;0;0;0
Laayoune Sud;1;1;0;1;1;1
Es semara;0;0;0;0;1;0
Boujdour;0;0;1;0;0;0
Tarfaya;1;0;0;0;0;0
El marsa;0;0;1;0;0;0
Akhfennir;1;0;0;0;0;0
Foum el oued;0;0;1;0;0;0
Aftissat;0;0;1;0;0;0
Agti el ghazi;0;0;1;0;0;0
Daoura;1;0;0;0;0;0
Ouazzane;0;1;0;0;0;0
Ouazzane;0;1;0;0;0;0
Zoumi;0;1;0;0;0;0
Mokrisset;0;1;0;0;0;0
Ksar el kébir;1;0;1;0;0;0
Larache;1;1;1;1;1;1
Arbaoua;1;0;1;0;0;0
Brikcha;0;1;0;0;0;0
Khémis sahel;0;0;0;1;0;0
Moqrisset;0;1;0;0;0;0
Sidi lyamani;0;0;0;1;0;0
Sidi ameur al hadi;0;1;0;0;0;0
El aouamra;1;0;1;0;0;0
Beni arouss;0;0;0;1;0;0
Larbaa ayacha;0;0;0;1;0;0
Zouada;1;0;1;0;0;0
Beni garfett;0;0;0;1;0;0
Souaken;1;0;1;0;0;0
Tatoft;1;0;1;0;0;0
Asjen;0;1;0;0;0;0
Sahel;0;0;0;1;0;0
Masmouda;0;1;0;0;0;0
Tazroute;0;0;0;1;0;0
Rissana chamalia;0;0;0;1;0;0
Sidi boubker el haj;1;0;1;0;0;0
Marrakech;1;1;1;1;1;1
Ben guerir;0;0;0;1;0;0
Tamansourt;0;0;0;0;0;1
El kelaa des sraghna;1;0;0;0;0;0
Demnate;0;0;1;0;0;0
Imintanoute;0;1;0;0;0;0
Ourika;0;0;0;0;1;0
Ait ourir;0;0;1;0;0;0
Amizmiz;0;1;0;0;0;0
Assahrij;0;0;1;0;0;0
Chichaoua;0;1;0;0;0;0
Aghmat;0;0;0;0;1;0
Kattara;0;0;0;0;0;1
Laattaouia;1;0;0;0;0;0
Lakouablia;0;0;0;0;0;1
Lalla takarkoust;0;1;0;0;0;0
Moulay brahim;0;0;0;0;1;0
Sid l'mokhtar;0;1;0;0;0;0
Sid zouin;0;1;0;0;0;0
Sidi abdallah ghiat;0;0;1;0;0;0
Sidi bou othmane;0;0;0;1;0;0
Sidi boubker;0;0;0;1;0;0
Skhour rehamna;0;0;0;1;0;0
Tahannaout;0;0;0;0;1;0
Tameslouht;0;1;0;0;0;0
Douar saidat;0;1;0;0;0;0
Zemrane charqia;1;0;0;0;0;0
Asni;0;0;0;0;1;0
Bouchane;0;0;0;0;0;1
Touama;0;0;1;0;0;0
Ait hadi;0;1;0;0;0;0
Tamelelt;1;0;0;0;0;0
Ataouia;1;0;0;0;0;0
Harbil;0;0;0;0;0;1
El amria;1;0;0;0;0;0
Chwiter;0;0;1;0;0;0
Loudaya;0;1;0;0;0;0
Douar sidi moussa;0;0;0;0;1;0
Zaouïa de sidi ghanem;0;1;0;0;0;0
Nzalet el adam;0;0;0;1;0;0
Mzoudia;0;1;0;0;0;0
Imlil;0;0;0;0;1;0
Nzalat laadam;0;0;0;1;0;0
Talat n'yaaqoub;0;0;0;0;1;0
Ait majden;0;0;1;0;0;0
Mzem sendhaja;1;0;0;0;0;0
Oulad dlim;0;0;0;0;0;1
Tassoultante;0;0;0;0;1;0
Agafay;0;1;0;0;0;0
Ait imour;0;1;0;0;0;0
Al ouidane;1;0;0;0;0;0
Douirane;0;1;0;0;0;0
Jaidate;1;0;0;0;0;0
Ait faska;0;0;1;0;0;0
Tassaout;1;0;0;0;0;0
Ait tamlil;0;0;1;0;0;0
Wld bani;0;1;0;0;0;0
Frouga;0;1;0;0;0;0
Sidi rahhal sud;0;0;1;0;0;0
Tidili Mesfioua;0;0;1;0;0;0
Ararcha;0;0;0;1;0;0
Ouled zerrad;0;0;0;1;0;0
Tafroukhte;0;1;0;0;0;0
Ouled hassoune;1;0;0;0;0;0
Jdoura;0;0;0;0;0;1
Tighdouine;0;0;1;0;0;0
Ait blal;0;0;1;0;0;0
Sidi youssef ben ali;1;1;1;1;1;1
Ait Ali Tifni;0;0;1;0;0;0
Tazart;0;0;1;0;0;0
Chrifia;1;1;1;1;1;1
Douar al hana;0;0;0;0;1;0
Anzou;0;0;1;0;0;0
Tizguine;0;1;0;0;0;0
Agence khémisset;1;1;1;1;1;1
Meknès;1;1;1;1;1;1
Moulay driss zerhoun;0;1;0;0;0;0
El hajeb;1;0;0;0;0;0
Ain taoujdate;0;0;0;0;1;0
Aghbalou;0;0;1;0;0;0
Agourai;0;0;0;0;0;1
Aguelmous;0;0;1;0;0;0
Ain jemaa;0;1;0;0;0;0
Ain karma;0;1;0;0;0;0
Ain leuh;1;0;0;0;0;0
